id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_64892,"شنطة ماكياج (نسخة)","شنطة ماكياج 
20*15 سم 
يد + سوسته",http://localhost/ourarts/wp-content/uploads/2021/01/c01f19c3-6b73-4072-bad9-615718be744d.jpg,http://localhost/ourarts/product/%d8%b4%d9%86%d8%b7%d8%a9-%d9%85%d8%a7%d9%83%d9%8a%d8%a7%d8%ac-%d9%86%d8%b3%d8%ae%d8%a9/,"أقمشة وخيوط - Fabrics &amp; yarns","Our Arts",35EGP,in stock,wc_post_id_64892,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,35EGP,new,staging,,,,,16,,
canvas-30-60_63273,"كانفاس - 60*30 canvas","كانفاس - 60*120 canvas من قماس دمور وخشب الموسكي بوزن 600جم مدهون بلاستيك او لاكيه ابيض",http://localhost/ourarts/wp-content/uploads/2021/03/canvas-كانفاس-e1577996256270.jpg,http://localhost/ourarts/product/%d9%83%d8%a7%d9%86%d9%81%d8%a7%d8%b3-6030-canvas/,"كانفاس – canvas","Our Arts",31.5EGP,in stock,canvas-30-60_63273,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,31.5EGP,new,published,,,,,16,,
canvas-20-50-width 5cm_63272,"كانفاس - 50*20 canvas","كانفاس - 50*20 canvas من قماس دمور وخشب الموسكي بوزن 600جم مدهون بلاستيك او لاكيه ابيض 
 
عرض الخشب 5 سم",http://localhost/ourarts/wp-content/uploads/2021/03/canvas-كانفاس-e1577996256270.jpg,http://localhost/ourarts/product/%d9%83%d8%a7%d9%86%d9%81%d8%a7%d8%b3-5020-canvas/,"كانفاس – canvas","Our Arts",27EGP,in stock,canvas-20-50-width 5cm_63272,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,27EGP,new,published,,,,,16,,
wc_post_id_58162,"إيبوكسي ديكو بوكس","إيبوكسي ديكو بوكس 
لاعمال الاكسسوار 
1500 جرام",http://localhost/ourarts/wp-content/uploads/2021/01/ديكو-بوكس-e1608326874525.jpg,http://localhost/ourarts/product/%d8%a5%d9%8a%d8%a8%d9%88%d9%83%d8%b3%d9%8a-%d8%af%d9%8a%d9%83%d9%88-%d8%a8%d9%88%d9%83%d8%b3-2/,"ريزن وصبغات - resin &amp; pigments","Our Arts",260EGP,out of stock,wc_post_id_58162,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,260EGP,new,staging,,,,,16,,
wc_post_id_58161,"ايبوكسي جلاس كاست","ايبوكسي جلاس كاست 
للصواني والكوسترات 
١٤٠٠ جرام",http://localhost/ourarts/wp-content/uploads/2021/01/جلاس-كاست-e1608326871654.jpg,http://localhost/ourarts/product/%d8%a7%d9%8a%d8%a8%d9%88%d9%83%d8%b3%d9%8a-%d8%ac%d9%84%d8%a7%d8%b3-%d9%83%d8%a7%d8%b3%d8%aa/,"ريزن وصبغات - resin &amp; pigments","Our Arts",240EGP,out of stock,wc_post_id_58161,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,240EGP,new,staging,,,,,16,,
VC144_58088,"ألوان بوستر 6 لون, 10مل, من دونغ-اي","ألوان بوستر 6 لون, 10مل, من دونغ-اي",http://localhost/ourarts/wp-content/uploads/2021/01/106343601_115623820204574_6153766272722796176_o.jpg,http://localhost/ourarts/product/%d8%a3%d9%84%d9%88%d8%a7%d9%86-%d8%a8%d9%88%d8%b3%d8%aa%d8%b1-6-%d9%84%d9%88%d9%86-10%d9%85%d9%84-%d9%85%d9%86-%d8%af%d9%88%d9%86%d8%ba-%d8%a7%d9%8a/,"ألوان بوستر - Poster colors","Our Arts",70EGP,in stock,VC144_58088,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,70EGP,new,published,,,,,16,,
VC119_58087,"ألوان بوستر 12 لون, 12مل من ماريز","ألوان بوستر 12 لون, 12مل من ماريز",http://localhost/ourarts/wp-content/uploads/2021/01/75424734_116508570116099_6859024489817110702_n.jpg,http://localhost/ourarts/product/%d8%a3%d9%84%d9%88%d8%a7%d9%86-%d8%a8%d9%88%d8%b3%d8%aa%d8%b1-12-%d9%84%d9%88%d9%86-12%d9%85%d9%84-%d9%85%d9%86-%d9%85%d8%a7%d8%b1%d9%8a%d8%b2/,"ألوان بوستر - Poster colors","Our Arts",105EGP,in stock,VC119_58087,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,105EGP,new,published,,,,,16,,
VC133_58086,"ألوان مائية 48 لون من جيوريون","ألوان مائية 48 لون من جيوريون",http://localhost/ourarts/wp-content/uploads/2021/01/Giorgione-Watercolor-Pigment-24-Color-36-Color-Beginners-Hand-Painted-Solid-Watercolor-Pressed-Powder-Washable-Watercolor.jpg,http://localhost/ourarts/product/%d8%a3%d9%84%d9%88%d8%a7%d9%86-%d9%85%d8%a7%d8%a6%d9%8a%d8%a9-48-%d9%84%d9%88%d9%86-%d9%85%d9%86-%d8%ac%d9%8a%d9%88%d8%b1%d9%8a%d9%88%d9%86/,"الوان مائية - Watercolor","Our Arts",360EGP,in stock,VC133_58086,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,360EGP,new,published,,,,,16,,
VC130_58084,"ألوان مائية 18 لون من جيوريون","ألوان مائية 18 لون من جيوريون",http://localhost/ourarts/wp-content/uploads/2021/01/HTB1jF3tSAvoK1RjSZFDq6xY3pXao.jpg_.jpg,http://localhost/ourarts/product/%d8%a3%d9%84%d9%88%d8%a7%d9%86-%d9%85%d8%a7%d8%a6%d9%8a%d8%a9-18-%d9%84%d9%88%d9%86-%d9%85%d9%86-%d8%ac%d9%8a%d9%88%d8%b1%d9%8a%d9%88%d9%86/,"الوان مائية - Watercolor","Our Arts",190EGP,in stock,VC130_58084,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,190EGP,new,published,,,,,16,,
VC132_58085,"ألوان مائية 36 لون من جيوريون","ألوان مائية 36 لون من جيوريون",http://localhost/ourarts/wp-content/uploads/2021/01/Giorgione-Watercolor-Pigment-24-Color-36-Color-Beginners-Hand-Painted-Solid-Watercolor-Pressed-Powder-Washable-Watercolor.jpg,http://localhost/ourarts/product/%d8%a3%d9%84%d9%88%d8%a7%d9%86-%d9%85%d8%a7%d8%a6%d9%8a%d8%a9-36-%d9%84%d9%88%d9%86-%d9%85%d9%86-%d8%ac%d9%8a%d9%88%d8%b1%d9%8a%d9%88%d9%86/,"الوان مائية - Watercolor","Our Arts",290EGP,in stock,VC132_58085,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,290EGP,new,published,,,,,16,,
